Course,Title,Pathways Area,Writing Intesive / College Options
BIOL 22,Intro to Human Physiology," ",Science
BIOL 44,Food and Human Microbiology,Required Core - Life and Physical Sciences,Science
BIOL 345W,Animal Behavior," ",Writing Intensive
BUS 3912W,Special Problems," ",Writing Intensive
CHIN 251,Classical Chinese II," ",Language
CHIN 317,Intro Formal Chinese Linguist," ",Language
CHIN 320,Chinese Drama," ",Language
CHIN 340,Readings from Chinese History," ",Language
CLAS 3003W,Topics in Classical Studies," ",Writing Intensive
CMLIT 101H,Global Literatures I,Flexible Core - World Cultures & Global Issues,"Literature, Writing Intensive"
CMLIT 102W,Global Literatures II,Flexible Core - World Cultures & Global Issues,"Literature, Writing Intensive"
CMLIT 215W,Topics in Modern Literature,Flexible Core - Creative Expression,Writing Intensive
ECON 219W,Econ Class/Race/Sex," ",Writing Intensive
ECON 3912W,Special Problems," ",Writing Intensive
ENGL 170W,Introduction to Literary Study," ",Writing Intensive
ENGL 201W,VT: Writing for Special Fields," ",Writing Intensive
ENGL 255,Global Literatures in English," ",Literature
ENGL 320,Early Modern Literature," ",Literature
ENGL 327W,Environmental Literature," ",Writing Intensive
ENGL 331,Chaucer," ",Literature
ENGL 334,Milton," ",Literature
ENGL 363,VT: Global Literatures in Engl," ",Literature
ENGL 364,VT: African Lit & Culture," ",Literature
ENGL 399W,Department Honors Seminar," ",Writing Intensive
EURO 201W,VT: The Arts in Europe," ",Writing Intensive
FREN 367,Vt: Tops Fren & Franco Lit," ",Language
GEOL 101,Introduction to Planet Earth,Required Core - Life and Physical Sciences,Science
GERM 324,German Enlightenment," ",Language
GERM 333,German Novels," ",Language
GREEK 351,Euripides," ",Language
GRKMD 111,Elementary Modern Greek I," ",Language
GRKMD 321,Survey Mod Greek 1," ",Language
HEBRW 204,Intermediate Hebrew II," ",Language
HIST 101W,Early Modern Europe 1500-1815,Flexible Core - World Cultures & Global Issues,Writing Intensive
HNRS 135W,Writing Workshop," ",Writing Intensive
ITAL 228,Advanced Compositon," ",Language
ITAL 231,Translation 1," ",Language
ITAL 232,Translation II," ",Language
ITAL 250W,Italian Film and Media," ",Writing Intensive
ITAL 346,Vt:Med Lit II:Poetry," ",Language
ITAL 347,Vt:Medvl Lit III:Prose," ",Language
ITAL 356,Vt: Ren Lit II: Poetry," ",Language
ITAL 3813,Seminar," ",Language
KOR 204,Intermediate Korean II," ",Language
LATIN 203,Roman Prose," ",Language
LCD 135W,Lin Comm Writing Workshop," ",Writing Intensive
MATH 385W,Math Found Sec Educ," ",Writing Intensive
MEDST 325W,Radical Critiques," ",Writing Intensive
MEDST 330W,The Music Industry," ",Writing Intensive
MUSIC 346W,Music History III: 1800-1890," ",Writing Intensive
MUSIC 347W,Music Hist IV," ",Writing Intensive
PHIL 225,Phil of Natural Sciences,Flexible Core - Scientific World,Science
PSCI 383W,Seminar Comparative Politics," ",Writing Intensive
PSCI 387W,Sem Pol Analysis & Rsrch Mtds," ",Writing Intensive
RUSS 204,Intermediate Russian II," ",Language
RUSS 215,Adv Inter Russian I," ",Language
RUSS 225,Adv Inter Russian II," ",Language
RUSS 281,Tolstoy," ",Literature
SPAN 60,Hisp Lit & Culture In Us," ",Literature
SPAN 240,Intro Hisp Lit Studies," ",Language
SPAN 250,Survey of Spanish Literature I," ","Language, Language"
SPAN 306,Survey of Spanish Lit II," ","Language, Language"
SPAN 290,Survey Span-Am Lit II," ","Language, Language"
MEDST 364W,Advert Consump & Culture," ",Writing Intensive
PHYS 1211,General Physics I Laboratory," ",Science
HIST 164H,VT:Social &Cultural Hist: Euro," ",Writing Intensive
SPAN 115,Span For Herit Spkrs 2," ",Language
CLAS 3001W,Topics in Classical Studies," ",Writing Intensive
CLAS 3002W,Topics in Classical Studies," ",Writing Intensive
GEOL 99,Resources & Hazards XXI Cent,Required Core - Life and Physical Sciences,Science
WGS 3901W,Tutorial Women Gender Studies," ",Writing Intensive
WGS 3902W,Tutorial," ",Writing Intensive
ANTH 364,Anthropological Genomics," ","Synthesis, Synthesis"
LCD 101,Introduction to Language," ",Language
HIST 163H,VT: Topics in U.S. History,Flexible Core - US Experience in its Diversity,Writing Intensive
ENGL 349,Colonial American Literature," ",Literature
ENGL 351,Nineteenth-Century U.S. Lit," ",Literature
MEDST 362W,Surveillance," ",Writing Intensive
LANG 2004,VT: Language Tutorial," ",Language
ASL 112,American Sign Language II," ",Language
ENGL 397W,VT: Seminar Teaching Writing," ",Writing Intensive
ENGL 130,Writing about Literature Eng,Required Core - English Composition," "
HIST 311,Jewish Soc in Islamic Lands,Flexible Core - World Cultures & Global Issues," "
EAST 132,Civilization of Korea,Flexible Core - World Cultures & Global Issues," "
MATH 143,Calculus-Infinite Series,Required Core - Mathematical&QuantitativeReasoning," "
PSCI 210,Amer State/Local Gov'T,Flexible Core - US Experience in its Diversity," "
HIST 160,VT: Topics in Global History,Flexible Core - World Cultures & Global Issues," "
CMLIT 230,African Literatures,Flexible Core - World Cultures & Global Issues," "
MATH 202,Advanced Calculus,Required Core - Mathematical&QuantitativeReasoning," "
HIST 102,"Modern Europe, 1815 to the Pre",Flexible Core - World Cultures & Global Issues," "
MATH 152,Calc/Integration & Infinite,Required Core - Mathematical&QuantitativeReasoning," "
MUSIC 1,Introduction to Music,Flexible Core - Creative Expression," "
SOC 103,Sociology of American Life,Flexible Core - US Experience in its Diversity," "
ITAL 45,Italian Culture and Thought,Flexible Core - World Cultures & Global Issues," "
SOC 211,Ethnic and Racial Relations,Flexible Core - US Experience in its Diversity," "
MATH 158,Honors Calculus II,Required Core - Mathematical&QuantitativeReasoning," "
HIST 103,"American History, 1607-1865",Flexible Core - US Experience in its Diversity," "
PSCI 103,Politics Around the World,Flexible Core - World Cultures & Global Issues," "
JPNS 254,Japanese Cinema,Flexible Core - Creative Expression," "
ACE 5W,Great Works of Literature," ","Literature, Writing Intensive"
AMST 135W,Writing Workshop," ",Writing Intensive
ARAB 203,Intermediate Arabic I," ",Language
ARTH 3201W,Internship in Art History," ",Writing Intensive
ASTR 1,General Astronomy,Flexible Core - Scientific World,Science
BIOL 105,Physiol & Cell Biol,Required Core - Life and Physical Sciences,Science
BUS 392W,Honors Seminar," ","Writing Intensive, Writing Intensive"
CHEM 163,Chemistry in Modern Society,Flexible Core - Scientific World,Science
CHEM 1033,Basic Biochemistry,Required Core - Life and Physical Sciences,Science
CHIN 203,Intermediate Chinese I," ",Language
CHIN 250,Classical Chinese I," ",Language
CHIN 311,Advanced Modern Chinese," ",Language
CHIN 318,Int Appl Chin Ling," ",Language
CMLIT 334W,Vt: Myth & Heroic Lit," ",Writing Intensive
CMLIT 381W,Advanced Seminars," ",Writing Intensive
CMLIT 384W,Advanced Seminars," ",Writing Intensive
ECON 390W,Research Methods in Economics," ",Writing Intensive
EECE 201W,Social Foundations of Educ," ","Writing Intensive, Writing Intensive"
ENGL 152W,Readings American Literature,Flexible Core - US Experience in its Diversity,"Literature, Writing Intensive"
ENGL 153W,Introduction to the Bible,Flexible Core - Creative Expression,Writing Intensive
ENGL 155W,Readings in Drama," ",Writing Intensive
ENGL 162W,Literature and Place," ","Literature, Writing Intensive"
ENGL 165W,Introduction to Poetry,Flexible Core - Creative Expression,"Literature, Writing Intensive"
ENGL 368W,VT: Irish Literature," ","Literature, Writing Intensive"
ENGL 378,VT: Caribbean Literature," ",Literature
ENSCI 112,Our Changing Planet,Flexible Core - Scientific World,Science
EURO 202W,VT: Languages of Europe," ",Writing Intensive
FREN 112,Elementary French II," ",Language
FREN 203,Intermediate French I,Flexible Core - World Cultures & Global Issues,Language
GEOL 16,"Earthqk, Volc & Moving Contin",Flexible Core - Scientific World,Science
GERM 236,German Media of Today," ",Language
GREEK 251,Elementary Ancient Greek I," ",Language
GRKMD 112,Elementary Modern Greek II," ",Language
GRKMD 223,Modern Greek Conversation,Flexible Core - World Cultures & Global Issues,Language
GRKMD 330,Early Mod Greek Lit," ",Language
HEBRW 305,Advanced Modern Hebrew," ",Language
HEBRW 311,Hebrew Conversation," ",Language
